"Keyword","Avg. Search Volume (Last Known Values)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","SERP Position - Your domain","Estimated Visits - Your domain","SERP Position - smallseotools.com","Estimated Visits - smallseotools.com"
"reverse image search","","United States","1.36",2,8,15,"","","","","-","-",8,29550
"ai check","","United States","1.16",14,23,234,"HOMEPAGES, TOOLS","","Missing words in title","People Also Ask","-","-",23,3843
"ai checking","","United States","1.16",14,35,234,"HOMEPAGES, TOOLS","","Missing words in title","","-","-",35,3843
"translate into english","","United States","1.87",1,45,7,"","","Missing words in title","","-","-",45,3150
"translate this to english","","United States","1.87",1,,7,"","","","","-","-",49,3150
"ia detector","","United States","1.26",12,,,"","","","","-","-",52,
"translation to english","","United States","1.87",1,54,7,"GLOSSARIES","","Missing words in title","","-","-",54,3150
"real people finder","","United States","1.98",0,49,49,"HOMEPAGES","","Missing words in title","","-","-",68,3843
"ai checker","","United States","1.16",14,49,234,"HOMEPAGES, TOOLS","","","","-","-",87,3843
"ai detector","","United States","1.26",12,57,162,"","","","","-","-",97,7035